source,text,review_rating,name,review_date,length_of_stay,traveler_type,total_rating,total_reviews
booking,Amazing location and massive room. Staff rude upon check out when asking question about return of safety deposit. When also asked for late check out was advised we would have to pay extortionate money for somewhere to shower and get changed.,8.0,Kane,2024-09-28,3.0,Group,7.1,481 reviews
booking,"huge room, great location sofa was broken and old, mattress could be better",8.0,Vadim,2024-09-30,7.0,Family,7.1,481 reviews
booking,"Restaurant staff / pool staff were incredibly attentive and accommodating. Special shout out to Eva who always made us feel welcome and ensured we were comfortable.
Cleaning staff were friendly and efficient. Rooms were cleaned each day to a high standard with plenty of fresh bedding and towels. 
Location was great - close to bars, restaurants, clubs, beach, shops. The greatest issue I have with this property happened post-checkout. I returned home to see a $455 unexplained charge to my debit card. Following multiple unsuccessful attempts to contact the property via email and telephone, booking.com were able to confirm that the property had duplicately charged me for resort fees already paid in our settled cost to booking.com. Although booking.com have agreed to refund, I am yet to hear from the hotel. We were given a $0 invoice upon checkout and we were never informed of these charges or asked to pay (I’m unclear how the property obtained my card details). Communication has not been poor, it’s been nonexistent from the hotel on this matter.

Areas for improvement:
1. Members of reception were not always friendly or helpful. 
2. Breakfast vouchers were not printed when we checked in. When we asked for more (as included in price), reception were reluctant to provide.
3. Reception directed us to beach yoga but we arrived to find it had been cancelled. When we returned (5 minutes later) staff informed us of the cancellation. Perhaps it was cancelled in that time but if not we should have been informed. 
4. Golf cart was out of use each time we asked. 
5. Rooftop pool often lacked fresh towels.",6.0,Chloe,2024-09-04,8.0,Group,7.1,481 reviews
booking,"Was a on a great location , staff were very friendly and helpful. Needed a lot of tlc, room tired , pool area was awful things broken carpets needed cleaning . This hotel was 3 *",7.0,Gilbert,2023-10-16,2.0,Couple,7.1,481 reviews
booking,"The hotel itself, along with the staff, was very nice and helpful. Orange Blossoms food was great. I didn't like that the hotel itself was hot inside (hallways etc.) The rooms AC was great, but once out of the room, it was a little uncomfortable.",8.0,Rhianna,2025-04-28,3.0,Family,7.1,481 reviews
booking,"Location was awesome. I mean we could walk to much of everything in south Beach. We would stay again for sure. I'm a big balcony person so I was under the impression when I booked a ""oceanfront"" room my room would be able to see the ocean even with it being 1 block away from the beach..... Literally a block. 

That wasn't the case, could definitely hear the ocean to be fair. Also they didn't do much of a good job cleaning the balcony. I know that's nip picking but when u book a balcony room you want to be able to feel like it was cleaned. 

When I say cleaned there wasn't trash left behind but you can tell they don't ""clean"" out there. 


Kinda like picking up all the dirty towels, restocking the tissue and making sure no trash is in the bathroom... Did they actually clean it? Nope.",8.0,Tyriek,2024-09-03,3.0,Family,7.1,481 reviews
booking,Location Old and worn out,6.0,Alan,2024-08-14,3.0,Family,7.1,481 reviews
booking,Location was great and the rooms are spacious. I also liked the complimentary beach towels and chairs at the beach I booked for a Terrance room and got a room that barely had a balcony,8.0,Khalilah,2024-07-15,3.0,Group,7.1,481 reviews
booking,"Cleanliness & Staff I purchased a rooms with a sofa/seating area but I didn't get this. 

There are also restrictions on the mini bar/coffee maker, it's a pod and comes with expresso cups with no milk and no ability to make hot water if you bring your own coffee.",6.0,Poppy,2024-12-26,2.0,Solo,7.1,481 reviews
booking,The updates are nice. Parking options weren’t convenient & costly. We didn’t have a mini fridge or microwave in our room. The shower wasn’t properly thought out and there was no way to avoid water going all over the bathroom. Most of our towels were used to clean up water.,7.0,Happiness,2024-12-05,1.0,Couple,7.1,481 reviews
booking,"THE ROOMS WERE A GREAT SIZE, LOCATION WAS GREAT, BED WAS COMFORTABLE, VERY HANDY HAVING A LAUNDRY IN THE ROOM, LIKED THAT IT HAD 2 TOILETS THE ROOMS WERE VERY TIRED, LACK OF UTENSILS AND MISMATCHED, FRIDGE DOOR DID NOT CLOSE PROPERLY, NO HAIR DRYER IN THE ROOM, NO DISHWASHER TABLETS - HAD TO ASK FOR THEM. WHEN WE ARRIVED IT WAS EARLY IN THE MORNING, THEY PROMISED TO LET US KNOW AS SOON AS OUR 3 ROOMS WERE READY, NO-ONE CONTACTED US WE WERE TOLD AT CHECK-IN TIME NO-ONE HAD LEFT A NOTE TO CONTACT US WHEN READY, DESPITE ASKING NUMEROUS TIMES.",6.0,Christine,2024-12-03,4.0,Group,7.1,481 reviews
booking,"the room was spacious and big, close to the beach,
 the staff solved our requests, heated pool, beautiful area on the balcony it's was noisy on the street. We took a room with a kitchen and unfortunately there are not enough things for cooking - no frying pan, few dishes, knives, baking forms. Coffees were placed for only 6 servings",8.0,Oksana,2024-12-01,4.0,Family,7.1,481 reviews
booking,"Loved the outside space w/junior suite with terrace
Enjoyed the complimentary bikes for an hour taking a ride all along the promenade 
Thanks Tony for ride to Joe's for dinner 😎 Outside terrace could use some maintenance 
Last night road construction noise outside",8.0,Julie,2024-11-14,3.0,Couple,7.1,481 reviews
booking,"Overall our stay was enjoyable and would recommend and would be happy to stay again. Location was great, spacious apartment. Could provide tea and coffee and sugar. Be nice if the staff on front desk were more helpful, a smile goes a long way to making you feel welcome I feel its an important part of any front of house position.",7.0,Kriste,2024-11-10,4.0,Group,7.1,481 reviews
booking,The location is good. Walking distance from a lot of stores and restaurants. The penthouse is just a basic room! Don’t book it thinking it’s something special. Get a suite because it will have more amenities.,7.0,Kimberly,2024-11-05,1.0,Couple,7.1,481 reviews
booking,"The location is awesome, just two blocks to the beach. The staff is friendly. The onsite restaurant was pretty good. The bed was comfortable, and the room was clean. The rooftop pool was lovely and my favorite part! There were lots of little issues. The toilet ran unless I went back to jiggle the handle. One night, the wifi wasn't working so I wasn't able to watch netflix. They were having trouble with the fire alarm system and there were multiple days that the alarm was beeping while I was in my room.",6.0,Robyn,2024-11-04,5.0,Solo,7.1,481 reviews
booking,good location and the room was good. The staff were ok- nobody particularly stuck out for being helpful.,6.0,Henrietta,2024-10-30,7.0,Couple,7.1,481 reviews
